frecuency;magnitude;;;
432636619.71831;-97.1646575927734;;;
432653521.126761;-99.1150207519531;;;
432670422.535211;-98.0108261108398;;;
432687323.943662;-96.1574554443359;;;
432704225.352113;-98.6635131835938;;;
432721126.760563;-96.5580368041992;;;
432738028.169014;-94.1836547851563;;;
432754929.577465;-95.2524261474609;;;
432771830.985915;-93.0309677124023;;;
432788732.394366;-96.2155227661133;;;
432805633.802817;-93.3793640136719;;;
432822535.211268;-94.9695587158203;;;
432839436.619718;-93.798583984375;;;
432856338.028169;-93.2738876342773;;;
432873239.43662;-92.5848846435547;;;
432890140.84507;-90.5526351928711;;;
432907042.253521;-86.2874908447266;;;
432923943.661972;-83.1850738525391;;;
432940845.070423;-81.2059555053711;;;
432957746.478873;-79.5018005371094;;;
432974647.887324;-78.27392578125;;;
432991549.295775;-78.43115234375;;;
433008450.704225;-79.1216201782227;;;
433025352.112676;-80.3454132080078;;;
433042253.521127;-81.5029754638672;;;
433059154.929577;-84.5769653320313;;;
433076056.338028;-86.8533248901367;;;
433092957.746479;-90.4227066040039;;;
433109859.15493;-94.6283569335938;;;
433126760.56338;-94.3357162475586;;;
433143661.971831;-94.7169570922852;;;
433160563.380282;-97.2229385375977;;;
433177464.788732;-98.3492736816406;;;
433194366.197183;-99.920768737793;;;
433211267.605634;-97.0213241577148;;;
433228169.014085;-95.5134506225586;;;
433245070.422535;-94.708740234375;;;
433261971.830986;-98.8648147583008;;;
433278873.239437;-100.213333129883;;;
433295774.647887;-94.8288497924805;;;
433312676.056338;-96.6047592163086;;;
433329577.464789;-94.9460525512695;;;
433346478.873239;-94.5623474121094;;;
433363380.28169;-96.5768814086914;;;
433380281.690141;-94.4166030883789;;;
433397183.098592;-95.5700607299805;;;
433414084.507042;-94.8377456665039;;;
433430985.915493;-93.7436981201172;;;
433447887.323944;-94.4121780395508;;;
433464788.732394;-96.5951232910156;;;
433481690.140845;-92.8092727661133;;;
433498591.549296;-92.9199829101563;;;
433515492.957747;-94.9858551025391;;;
433532394.366197;-95.6751251220703;;;
433549295.774648;-96.6264572143555;;;
433566197.183099;-94.7776260375977;;;
433583098.591549;-96.3813247680664;;;
433600000;-94.8362274169922;;;
433616901.408451;-96.5718688964844;;;
433633802.816901;-95.3854751586914;;;
433650704.225352;-94.2301635742188;;;
433667605.633803;-94.9974746704102;;;
433684507.042253;-95.0578842163086;;;
